Municipality Number,Municipality Number (Original),Area Name (DLD Official),Area Code,Old / Common Name,Latitude,Longitude
11100115,111-115,Al Corniche,111,Al Corniche (Deira),25.278842,55.305003
67204060,672-4060,Al Barsha South Second,672,Al Barsha South 2,25.063133,55.222083
67204062,672-4062,Al Barsha South Second,672,Al Barsha South 2,25.063083,55.222796
67204147,672-4147,Al Barsha South Second,672,Al Barsha South 2,25.064909,55.221935
67204148,672-4148,Al Barsha South Second,672,Al Barsha South 2,25.064809,55.221574
67204151,672-4151,Al Barsha South Second,672,Al Barsha South 2,25.064488,55.222076
67204152,672-4152,Al Barsha South Second,672,Al Barsha South 2,25.064388,55.221715
67204156,672-4156,Al Barsha South Second,672,Al Barsha South 2,25.063966,55.221855
67204157,672-4157,Al Barsha South Second,672,Al Barsha South 2,25.063856,55.222287
67300868,673-868,Al Barsha South Third,673,Al Barsha South 3 / Arjan,25.060399,55.223441
67300894,673-894,Al Barsha South Third,673,Al Barsha South 3 / Arjan,25.058821,55.223695
67300902,673-902,Al Barsha South Third,673,Al Barsha South 3 / Arjan,25.059986,55.223103
67300907,673-907,Al Barsha South Third,673,Al Barsha South 3 / Arjan,25.058556,55.222704
67300909,673-909,Al Barsha South Third,673,Al Barsha South 3 / Arjan,25.058046,55.222833